trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
47,False,"{'a': 0.05, 'e': 0.7027130767735539}",25,0,-183.68100946939694,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
48,False,"{'a': 0.05, 'e': 0.7373937155412458}",20,0,-84.63110199188489,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.05, 'e': 0.7702312540473074}",30,0,-71.12319864839309,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.05, 'e': 0.8011436155469337}",25,0,-45.646982479321,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.05, 'e': 0.8300535352352224}",30,0,-93.56365628651835,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.05, 'e': 0.8568887533689473}",20,0,-88.31983424377857,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.05, 'e': 0.8815821958782861}",25,14,-91.55062993262277,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.05, 'e': 0.9040721420170612}",20,6,-44.58138960503987,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.05, 'e': 0.9243023786324636}",20,0,-117.80462361225135,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
56,False,"{'a': 0.05, 'e': 0.9422223406686583}",25,0,-81.75531786674037,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
57,False,"{'a': 0.05, 'e': 0.9577872375530904}",30,0,-71.45566420959568,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.05, 'e': 0.9709581651495907}",20,0,-154.91459095397903,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
59,False,"{'a': 0.05, 'e': 0.9817022029984541}",25,0,-49.52369220940906,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.9899924966004454}",20,0,-152.1160375366543,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
61,False,"{'a': 0.05, 'e': 0.9958083245390612}",30,4,-227.78402060964083,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 4}",1
62,False,"{'a': 0.05, 'e': 0.9991351502732795}",20,0,-182.0878202002755,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
63,False,"{'a': 0.05, 'e': 0.999964658471342}",20,0,-87.31875963062797,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.05, 'e': 0.9982947757947531}",20,0,-68.62223173308557,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.05, 'e': 0.9941296760805463}",20,0,-76.33861302166189,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
66,False,"{'a': 0.05, 'e': 0.9874797699088649}",30,0,-190.10414310714154,"{0: 14, 1: 1, 2: 12, 3: 2, 4: 1}",0
67,False,"{'a': 0.05, 'e': 0.9783616785819341}",20,3,-108.0711846287835,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.9667981925794609}",25,0,-132.98855931230972,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
69,False,"{'a': 0.05, 'e': 0.9528182145943047}",25,0,-82.85926310176727,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.05, 'e': 0.9364566872907963}",25,0,-94.90546072773242,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.05, 'e': 0.9177545059662758}",30,0,-132.31988612184884,"{0: 19, 1: 5, 2: 2, 3: 3, 4: 1}",0
72,False,"{'a': 0.05, 'e': 0.896758416334147}",35,3,-247.8726511070627,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 3}",1
73,False,"{'a': 0.05, 'e': 0.8735208976839377}",25,0,-134.73809486094123,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.05, 'e': 0.848100031710408}",25,0,-42.275271314893025,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.05, 'e': 0.8205593573395608}",25,0,-155.14951285093926,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
76,False,"{'a': 0.05, 'e': 0.7909677119144165}",30,0,-113.76709715863471,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.05, 'e': 0.7593990591375079}",20,9,-52.77807847354959,"{0: 5, 1: 4, 2: 0, 3: 2, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.7259323042001399}",20,0,-57.83047422346786,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.05, 'e': 0.6906510965605075}",25,0,-116.06533291166167,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.05, 'e': 0.6536436208636119}",25,0,-95.40749557783381,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
81,False,"{'a': 0.05, 'e': 0.6150023765255744}",25,7,-19.58016661986259,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
